Order History logoOrder History
esexton [ Log off ]
Sales Lookup - 2/15/2021
Date
2/15/2021
Store
101 - Tustin
Sales Person
esexton
Cashier/CSR
 
Details assigned to esexton on 2/15/2021
 
Units
Revenue
Attach %
ASP
Revenue Per Unit
Customers Served: 27	 	$2,945.15	 	 	$0.00
Computers Sold	0	$0.00		$0.00	
Service Plans Sold	4	$35.96	1.22 %	$8.99	$0.00
ESET Sold	0	$0.00	0.00 %	$0.00	$0.00
Office Sold	0	$0.00	0.00 %	$0.00	$0.00
Monitors	0	$0.00	0.00 %	$0.00	$0.00
Nord VPN	0	$0.00	0.00 %	$0.00	$0.00
Processors Sales	0	$0.00		$0.00	
Processor Attach	0	$0.00			$0.00
Custom Builds	0	$0.00	0.00 %	$0.00	
Custom Build Service Plan	0	$0.00	0.00 %	$0.00	
Micro Center Insider Card		$0.00	0.00 %		
Transaction Number
Sale Type
Line
Sku
Description
Qty
Unit Price
Total
 	 	 	 	 	 	 	Total: $2,945.15
101-PO-11133057	Sale	1	957662	4 Outlet Metal Casing Surge Protector w/ 6 ft. Cord - Yellow	1	$19.99	$19.99
101-PO-11133057	Sale	2	996868	USB (Type-C) Male to HDMI Female 4K Adapter 5.7 in. - White	1	$24.99	$24.99
101-RE-11132924	Exchange	1	399436	Mini-HDMI 4x1 Switch	-1	($29.99)	($29.99)
101-PO-11132618	Sale	1	790196	CAT 6 Snagless Crossover Network Cable 10 ft. - Red	1	$12.99	$12.99
101-PO-11132618	Sale	2	118802	USB 3.1 (Gen 1 Type-A) Male to USB 3.1 (Gen 1 Type-A) Male Cable - Blue	1	$17.99	$17.99
101-PO-11132618	Sale	3	495432	CAT 6 Snagless Network Cable 7 ft. - Black	1	$9.99	$9.99
101-PO-11132618	Sale	4	480566	CAT 5e Snagless Network Cable 10 ft. - Blue	1	$9.99	$9.99
101-PO-11132618	Sale	5	753574	Cat 6 Network Cable 3 ft. 5 Pack - Gray	1	$11.99	$11.99
101-PO-11132570	Sale	1	066530	TUNE 115 Wireless Earbuds - Blue	1	$29.99	$29.99
101-RE-11132527	Exchange	1	936997	ASSIST XL Gaming Mouse Pad - Stealth	-1	($14.99)	($14.99)
101-PO-11132511	Sale	1	123430	64GB EVO V5 NANA microSDXC Class 10 / U1 Flash Memory Card with Adapter	1	$10.99	$10.99
101-PO-11132390	Sale	1	961144	Cloud II Gaming Headset - Black (Refurbished)	1	$62.99	$62.99
101-PO-11132390	Sale	2	024125	2 Year Replacement Plan	1	$6.99	$6.99
101-PO-11132378	Sale	1	965731	Maestro Multipurpose Paper; 8.5" x 11" (Letter); 99 Brightness; 20 lb; 500 Sheets	1	$2.49	$2.49
101-PO-11132259	Sale	1	196071	RT-AC66U B1 AC1750 Dual Band Gigabit Wireless AC Router w/ AiMesh Support	1	$89.99	$89.99
101-PO-11132243	Sale	1	977751	K556-RK RGB Mechanical Gaming Keyboard - Brown	1	$54.99	$54.99
101-PO-11132243	Sale	2	059295	PO27 Neptune RGB Gaming Mouse Pad	1	$19.99	$19.99
101-PO-11132243	Sale	4	023689	2 Year Replacement Plan	1	$1.99	$1.99
101-PO-11132222	Sale	3	080077	67XL Black Ink Cartridge	1	$24.99	$24.99
101-PO-11132202	Sale	1	163790	USB 2.0 (Type-A) Male to USB 2.0 (Type-A) Female Extension Cable 6 ft. - Black	1	$14.99	$14.99
101-PO-11132128	Sale	1	032938	Amplified Indoor HDTV Antenna	1	$24.99	$24.99
101-PO-11132128	Sale	2	608562	DriveStation DDR 2TB USB 3.1 (Gen 1 Type-A) 3.5" Desktop External Hard Drive - Black	1	$119.99	$119.99
101-PO-11132123	Sale	1	856393	Wireless Desktop 900 (PT3-00001)	1	$34.99	$34.99
101-PO-11132064	Sale	1	998120	MX Keys Wireless Keyboard - Black	1	$99.99	$99.99
101-PO-11132030	Sale	2	078402	1/4 Watt 1% Resistors - 610 Pack	1	$9.99	$9.99
101-PO-11132030	Sale	3	320010	Carbon Activated Filter with PVC Bag - 3 Pack	1	$6.49	$6.49
101-PO-11132030	Sale	4	900902	Pi Kit Deluxe Parts Pack	1	$19.99	$19.99
101-PO-11132030	Sale	5	825950	CPUAC600 Universal Power Adapter	1	$17.99	$17.99
101-PO-11132030	Sale	6	989392	1.75mm Gray PLA+ 3D Printer Filament - 1kg Spool (2.2 lbs)	1	$18.99	$18.99
101-PO-11132030	Sale	7	590497	3 Terminal Adjustable Positive Voltage Regulator	1	$2.79	$2.79
101-PO-11132030	Sale	8	836908	NTE960 Integrated Circuit - 3-Terminal Positive Voltage Regulator 5V	1	$1.99	$1.99
101-PO-11132030	Sale	9	634378	400 Volt 1 Amp General Purpose Diode	1	$1.99	$1.99
101-PO-11132030	Sale	10	758110	Mini 8-Way SP8T Rotary Selector Switch	1	$1.95	$1.95
